Job ID,Original Query ID,Query Index,Runtime,ResultRows,Status,Created At,Bytes Processed,Resource Usage,Slot Millis
297bfcfc-e60c-4b2a-bb64-50da62b7998f,63643554,11868,0:00:00.106000,1,DONE,2024-03-09 17:34:32.916000+00:00,,[],
a15f5a2f-5990-4169-8c2f-4f6cdb161a9a,63643560,7475,0:00:00.148000,1,DONE,2024-03-09 17:34:33.573000+00:00,,[],
4198d05b-2f48-426f-9065-eec4261127c9,63643571,15237,0:00:00.092000,1,DONE,2024-03-09 17:34:34.308000+00:00,,[],
a8539335-b2c4-44a6-be49-154f9afe1ab2,63643585,7648,0:00:02.330000,0,DONE,2024-03-09 17:34:36.206000+00:00,,[],2627
c1e63dc9-565d-4795-b886-f6eb787cfac8,63643589,13214,0:00:28.278000,0,DONE,2024-03-09 17:34:39.005000+00:00,,[],15199422
4e876923-a103-4426-938d-2cc959e8daa3,63643589,13213,0:00:00.171000,2,DONE,2024-03-09 17:35:07.990000+00:00,,[],
0e3ac98b-9905-4e4a-884e-00b769587370,63643598,14676,0:00:00.109000,1,DONE,2024-03-09 17:35:13.984000+00:00,,[],
566f6492-b006-487c-aa1b-b5aa5a74049f,63643603,12504,0:00:00.092000,1,DONE,2024-03-09 17:35:17.221000+00:00,,[],
48b88c36-d6db-4473-ab2e-b1d53a9189a4,63643607,10374,0:00:02.645000,0,DONE,2024-03-09 17:35:28.172000+00:00,,[],3031
8d6780eb-950f-4113-b92d-617fc6e787cc,63643609,5012,0:00:02.197000,0,DONE,2024-03-09 17:35:31.388000+00:00,,[],3957
dacfa9c1-7beb-4783-815f-87fd11c27f6c,63643614,15289,0:00:02.551000,0,DONE,2024-03-09 17:35:34.436000+00:00,,[],4244
3d6d2725-ef35-4989-b5e8-17b94e3718f1,63643615,5831,0:00:02.403000,0,DONE,2024-03-09 17:35:37.465000+00:00,,[],2721
eea75570-47d3-4475-a52c-8abefd76cf2e,63643618,11739,0:00:02.244000,0,DONE,2024-03-09 17:35:40.429000+00:00,,[],2807
1620e41c-35ac-4faf-881a-575a914d7f88,63643621,7333,0:00:02.176000,0,DONE,2024-03-09 17:35:43.164000+00:00,,[],3060
1b3f9580-0215-487e-b325-bf9db057cf85,63643624,13131,0:00:02.371000,0,DONE,2024-03-09 17:35:46.468000+00:00,,[],3496
b2117e82-1157-48ab-ac46-78ee251b48ed,63643626,2272,0:00:02.725000,0,DONE,2024-03-09 17:35:49.499000+00:00,,[],3209
aa169afc-32d6-4382-b742-26b633cbe8b7,63643629,2544,0:00:02.237000,0,DONE,2024-03-09 17:35:52.697000+00:00,,[],3448
0f54a179-44a6-442e-b829-bc40dcbaed00,63643628,3650,0:00:02.228000,0,DONE,2024-03-09 17:35:55.388000+00:00,,[],3295
8b7b12cb-8d27-4612-b07f-5b0f21fafb02,63643632,10286,0:00:02.452000,0,DONE,2024-03-09 17:35:58.201000+00:00,,[],4353
49a8bdae-8d73-4d1d-8e4a-0917fe9467a2,63643633,4657,0:00:02.465000,0,DONE,2024-03-09 17:36:01.300000+00:00,,[],2980
230a45e1-7feb-4af6-9519-d231f06326b4,63643634,14350,0:00:02.219000,0,DONE,2024-03-09 17:36:04.232000+00:00,,[],3856
361656b3-1105-48ea-b4c1-b1690030a9eb,63643636,12219,0:00:02.526000,0,DONE,2024-03-09 17:36:06.872000+00:00,,[],3377
8a5e4739-a8d2-4558-a4ab-e84e6a3b7410,63643639,10454,0:00:02.423000,0,DONE,2024-03-09 17:36:10.339000+00:00,,[],4371
1221d30e-4ef7-43df-93a0-8a9d7821eb45,63643641,9853,0:00:02.643000,0,DONE,2024-03-09 17:36:13.832000+00:00,,[],3214
89c80870-b204-46f8-8a42-25ce4091ae28,63643642,12220,0:00:02.272000,0,DONE,2024-03-09 17:36:18.078000+00:00,,[],4186
30879dc2-d0d5-4463-912d-a0995c0b2fd2,63643645,4856,0:00:02.544000,0,DONE,2024-03-09 17:36:21.986000+00:00,,[],2977
85f72476-d774-42fd-a227-0f6a0c9c4e23,63643647,14885,0:00:02.208000,0,DONE,2024-03-09 17:36:25.345000+00:00,,[],3668
f9da56ac-c5c4-49b1-917e-aca5c8c828ab,63643648,4857,0:00:02.202000,0,DONE,2024-03-09 17:36:28.294000+00:00,,[],3343
c3554f82-63c4-4595-adf6-3bc8834745ca,63643651,2273,0:00:02.187000,0,DONE,2024-03-09 17:36:31.240000+00:00,,[],3698
c3ca45f5-70b7-43c7-a763-f0b0de8b243e,63643654,7334,0:00:02.355000,0,DONE,2024-03-09 17:36:33.995000+00:00,,[],3061
278f9356-0c3f-425d-a825-782768667b2c,63643657,7335,0:00:02.438000,0,DONE,2024-03-09 17:36:37.245000+00:00,,[],4769
b8fc2064-9e7c-4873-947b-a1db9e3e9c1c,63643658,2432,0:00:02.532000,0,DONE,2024-03-09 17:36:40.239000+00:00,,[],5010
cc3955e5-a887-4bcc-b34c-e4e8fb4878c7,63643659,10455,0:00:02.295000,0,DONE,2024-03-09 17:36:43.389000+00:00,,[],3038
9560c6ed-1554-492a-a80c-220199bf03a3,63643660,13205,0:00:02.364000,0,DONE,2024-03-09 17:36:46.280000+00:00,,[],4495
c3d2ac5e-52bf-4317-9356-5ec7c1a79237,63644023,2545,0:00:00.094000,1,DONE,2024-03-09 17:36:54.364000+00:00,,[],
b178e7c6-e61f-47d1-84a2-b72c2917f7d7,63644053,2998,0:00:00.081000,1,DONE,2024-03-09 17:36:55.305000+00:00,,[],
f225d4c1-85c8-429e-a554-2750f4d14e02,63644073,4658,0:00:00.101000,1,DONE,2024-03-09 17:36:56.245000+00:00,,[],
8a5223ee-fafc-4215-a437-a56388d63328,63644109,2274,0:00:00.107000,1,DONE,2024-03-09 17:36:57.112000+00:00,,[],
cb83eeb4-60ff-4cc6-b052-17fca17a3618,63644117,10456,0:00:00.104000,1,DONE,2024-03-09 17:36:57.802000+00:00,,[],
f1c788e6-00c9-4397-8270-575be1bde2c4,63644127,7336,0:00:00.100000,1,DONE,2024-03-09 17:36:58.437000+00:00,,[],
dc5236d0-86b2-40dd-8e87-7400bbee0ce6,63644139,381,0:00:00.095000,1,DONE,2024-03-09 17:36:59.105000+00:00,,[],
162d944b-3ba7-4c81-9271-366cbe9f6d3d,63644146,12221,0:00:00.089000,1,DONE,2024-03-09 17:36:59.722000+00:00,,[],
e0a3c44a-bf68-4789-a6d9-d250066c3219,63644184,7476,0:00:00.109000,1,DONE,2024-03-09 17:37:00.624000+00:00,,[],
8fdac32f-8e4f-4515-bafd-5884f51c0fb0,63644207,9854,0:00:00.078000,1,DONE,2024-03-09 17:37:01.471000+00:00,,[],
3df8b112-5f8b-4144-ba1c-bb0857d15b77,63644208,11740,0:00:00.146000,1,DONE,2024-03-09 17:37:01.984000+00:00,,[],
