Query ID,Runtime
30,1.1432700157165527
6,0.5801427364349365
13,0.5433447360992432
22,0.48670005798339844
2,0.5621480941772461
26,0.5267441272735596
27,0.517859697341919
15,0.880403995513916
16,0.5177891254425049
7,0.5287559032440186
17,0.674508810043335
24,0.5600390434265137
8,0.557915210723877
28,0.8261029720306396
4,0.7040770053863525
25,0.47463107109069824
14,0.4820280075073242
11,0.41144704818725586
9,0.666881799697876
23,0.6582531929016113
19,0.4652841091156006
29,0.47635793685913086
12,0.4483492374420166
3,0.43047499656677246
10,0.46343493461608887
1,0.5557291507720947
21,0.6171290874481201
18,0.5253629684448242
0,0.5276238918304443
20,0.5238580703735352
